BCODE,Basin_Name,Continent_,Area_km2,Pop_2007,PopDen2007,Pop_2012,PopDen2012,Pop_2015,PopDen2015,Pop_2020,PopDen2020,Dams_Exist,Dam_Plnd,Dam_Plnd20,runoff,withdrawal,consumptio,HydroPolTe,NumberRipa,Riparian_C,Count_of_T,Count_of_R,Wetlands_k,Events__19,Paired_Int,EstDam24,Pop_2022,PopDen2022
VRDR,Vardar,EU,24554,2249431,92,2277570,93,2064870,84,2081002,85,4,13,13.000000000000000,300,4140,1980,5,3,"Greece, Republic of North Macedonia, Serbia",2.000000000000000,0.000000000000000,125.051139781000003,9.000000000000000,9.000000000000000,18.000000000000000,2007630.0000000,82
VSTL,Vistula/Wista,EU,192068,22238594,116,22153806,115,20036105,104,19884153,104,19,0,1.000000000000000,180,7700,830,2,4,"Belarus, Poland, Slovakia, Ukraine",10.000000000000000,1.000000000000000,2638.836351729999933,7.000000000000000,14.000000000000000,54.000000000000000,23972400.0000000,125
VUKS,Vuoksa,EU,287094,4918715,17,4799087,17,4396438,15,4419759,15,8,0,0.000000000000000,300,5590,410,1,3,"Belarus, Finland, Russian Federation",8.000000000000000,1.000000000000000,62719.078979600002640,2.000000000000000,2.000000000000000,23.000000000000000,6843280.0000000,24
WHIT,Whiting,NA,2474,0,0,2,0,2,0,2,0,0,0,0.000000000000000,2210,0,0,1,2,"Canada, United States of America",2.000000000000000,1.000000000000000,67.879371791099999,0.000000000000000,0.000000000000000,0.000000000000000,1.0089999,0
WIED,Wiedau,EU,1352,66483,49,65182,48,56339,42,55523,41,0,0,0.000000000000000,490,370,110,3,2,"Denmark, Germany",0.000000000000000,0.000000000000000,26.972060417200002,0.000000000000000,0.000000000000000,0.000000000000000,69438.8984375,51
YALU,Yalu,AS,62295,7510041,121,7420225,119,6682417,107,6770560,109,13,0,0.000000000000000,380,2040,510,3,2,"China, Dem People's Rep of Korea",4.000000000000000,0.000000000000000,787.923000494999997,15.000000000000000,15.000000000000000,59.000000000000000,7076590.0000000,114
YAQU,Yaqui,NA,72879,403072,6,396014,5,385508,5,391029,5,3,0,0.000000000000000,50,2120,950,2,2,"Mexico, United States of America",3.000000000000000,1.000000000000000,416.453504878999979,8.000000000000000,9.000000000000000,7.000000000000000,351054.0000000,5
YELC,Yelcho,SA,11409,32523,3,33497,3,34529,3,36345,3,1,0,1.000000000000000,1250,20,10,3,2,"Argentina, Chile",3.000000000000000,0.000000000000000,484.988284254000007,0.000000000000000,0.000000000000000,1.000000000000000,58439.6992188,5
YNSY,Jenisej/Yenisey,AS,2504604,7540162,3,8007756,3,6809849,3,6939654,3,7,0,1.000000000000000,250,2990,580,3,2,"Mongolia, Russian Federation",3.000000000000000,0.000000000000000,106991.092955999993137,0.000000000000000,0.000000000000000,26.000000000000000,8618420.0000000,3
YSER,Yser,EU,1560,242169,155,238600,153,262012,168,266509,171,0,0,0.000000000000000,410,370,70,3,2,"Belgium, France",0.000000000000000,0.000000000000000,4.966515601180000,0.000000000000000,0.000000000000000,0.000000000000000,286356.0000000,184
YUKN,Yukon,NA,848715,96428,0,111603,0,96328,0,102504,0,1,0,0.000000000000000,240,70,10,1,2,"Canada, United States of America",2.000000000000000,1.000000000000000,31137.656975400001102,0.000000000000000,0.000000000000000,3.000000000000000,174122.0000000,0
ZAMB,Zambezi,AF,1374975,49205744,36,58069500,42,59303110,43,69978231,51,59,21,33.000000000000000,170,3450,1190,3,8,"Angola, Botswana, Malawi, Mozambique, Namibia, United Republic of Tanzania, Zambia, Zimbabwe",17.000000000000000,2.000000000000000,73319.278255099998205,30.000000000000000,100.000000000000000,894.000000000000000,53623500.0000000,39
ZAPL,Zapaleri,SA,2507,261,0,109,0,1328,1,1676,1,0,0,0.000000000000000,10,10,0,3,3,"Bolivia, Chile, Argentina",4.000000000000000,1.000000000000000,43.033466119099998,0.000000000000000,0.000000000000000,0.000000000000000,1.0240000,0
ZARM,Zarumilla,SA,1056,123393,117,143756,136,90198,85,100475,95,0,0,0.000000000000000,300,410,150,1,2,"Ecuador, Peru",7.000000000000000,0.000000000000000,36.041145259300002,2.000000000000000,2.000000000000000,0.000000000000000,127673.0000000,121
ALHN,Allahein,AF,528,153306,290,161563,306,175840,333,220467,418,0,0,0.000000000000000,null,null,null,N/A,2,"Gambia, Senegal",0.000000000000000,0.000000000000000,10.802465425199999,0.000000000000000,0.000000000000000,0.000000000000000,241551.0000000,457
EMSX,Ems/Eems,EU,15231,3090396,203,3115569,205,3166235,208,3197163,210,0,0,0.000000000000000,null,null,null, ,2,"Germany, Netherlands",2.000000000000000,0.000000000000000,332.787120512999991,0.000000000000000,0.000000000000000,10.000000000000000,3221600.0000000,212
UTBN,Muni/Utamboni,AF,8275,38990,5,45861,6,45570,6,51561,6,0,0,0.000000000000000,2780,150,20,3,2,"Equatorial Guinea, Gabon",1.000000000000000,0.000000000000000,414.362629249999998,0.000000000000000,0.000000000000000,0.000000000000000,17430.3007812,2
