BCODE,Basin_Name,Continent_,Area_km2,Pop_2007,PopDen2007,Pop_2012,PopDen2012,Pop_2015,PopDen2015,Pop_2020,PopDen2020,Dams_Exist,Dam_Plnd,Dam_Plnd20,runoff,withdrawal,consumptio,HydroPolTe,NumberRipa,Riparian_C,Count_of_T,Count_of_R,Wetlands_k,Events__19,Paired_Int,EstDam24,Pop_2022,PopDen2022
CROS,Cross,AF,52840,14455385,274,17715863,335,17009285,322,18955705,359,1,0,1.000000000000000,1590,630,70,3,2,"Cameroon, Nigeria",0.000000000000000,0.000000000000000,583.127730105999944,2.000000000000000,2.000000000000000,1.000000000000000,14909400.0000000,282
CRTY,Corantijn/Courantyne,SA,65350,64477,1,55990,1,38527,1,36831,1,0,0,0.000000000000000,710,100,40,3,2,"Guyana, Suriname",0.000000000000000,0.000000000000000,658.353781881000032,1.000000000000000,1.000000000000000,0.000000000000000,25078.6992188,0
CRUH,Coruh,AS,22039,643284,29,704946,32,448157,20,405194,18,0,1,27.000000000000000,590,640,290,3,2,"Georgia, Turkey",3.000000000000000,1.000000000000000,41.004524939000000,0.000000000000000,0.000000000000000,16.000000000000000,369748.0000000,17
CSTL,Castletown,EU,265,40136,151,36234,137,33609,127,34997,132,0,0,0.000000000000000,0,0,0,3,2,"Ireland, U.K. of Great Britain and Northern Ireland",0.000000000000000,0.000000000000000,1.103844351450000,0.000000000000000,0.000000000000000,0.000000000000000,48551.6992188,183
CSTO,Cestos,AF,12714,693239,55,847157,67,686889,54,762952,60,0,0,1.000000000000000,1440,20,0,3,2,"Cote d'Ivoire, Liberia",0.000000000000000,0.000000000000000,19.859006581399999,0.000000000000000,0.000000000000000,0.000000000000000,684135.0000000,54
CTAT,Coatan Achute,NA,679,287214,423,306199,451,272608,401,287798,424,0,0,0.000000000000000,0,0,0,2,2,"Guatemala, Mexico",2.000000000000000,1.000000000000000,4.313459958590000,0.000000000000000,0.000000000000000,0.000000000000000,236419.0000000,348
CTNA,Cetina,EU,5099,288073,56,162377,32,153738,30,150567,30,2,0,0.000000000000000,null,null,null,N/A,2,"Bosnia and Herzegovina, Croatia",0.000000000000000,0.000000000000000,73.027770836599998,0.000000000000000,0.000000000000000,6.000000000000000,132331.0000000,26
CTTB,Catatumbo,SA,27435,2569416,94,2676977,98,2123427,77,1975884,72,0,0,0.000000000000000,720,670,160,3,2,"Colombia, Venezuela",0.000000000000000,0.000000000000000,1102.037276719999909,1.000000000000000,1.000000000000000,0.000000000000000,1771550.0000000,65
CULL,Cullen,SA,917,1453,2,1265,1,1367,1,1512,2,0,0,0.000000000000000,30,20,10,2,2,"Argentina, Chile",3.000000000000000,1.000000000000000,1.257504502650000,0.000000000000000,0.000000000000000,0.000000000000000,63.1759987,0
CVLY,Cavally,AF,29502,899485,30,1283771,44,1519728,52,1713577,58,0,0,2.000000000000000,1280,40,10,3,3,"Cote d'Ivoire, Guinea, Liberia",0.000000000000000,0.000000000000000,43.986002260399999,0.000000000000000,0.000000000000000,0.000000000000000,1117340.0000000,38
DANU,Danube,EU,800970,86492934,108,84236160,105,73138909,91,72412481,90,185,92,115.000000000000000,280,53820,12710,2,19,"Albania, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Germany, Hungary, Italy, Moldova, Republic of, Montenegro, Poland, Republic of North Macedonia, Romania, Serbia, Slovakia, Slovenia, Switzerland, Ukraine",61.000000000000000,5.000000000000000,13648.393325799999729,317.000000000000000,975.000000000000000,619.000000000000000,76761200.0000000,96
DAUR,Daoura,AF,49690,904132,18,856585,17,854513,17,883792,18,1,0,0.000000000000000,50,540,360,3,2,"Algeria, Morocco",0.000000000000000,0.000000000000000,10.125890371700001,0.000000000000000,0.000000000000000,1.000000000000000,768263.0000000,15
DIGL,Digul,AS,30033,130888,4,165271,6,179115,6,252891,8,0,0,0.000000000000000,2720,10,0,3,2,"Indonesia, Papua New Guinea",0.000000000000000,0.000000000000000,550.427125174000025,0.000000000000000,0.000000000000000,0.000000000000000,224111.0000000,7
DNPR,Dnieper,EU,511383,28323501,55,27916026,55,24973873,49,24432226,48,6,0,0.000000000000000,130,14490,4660,2,3,"Belarus, Ukraine, Russian Federation",7.000000000000000,1.000000000000000,14327.965536199999406,6.000000000000000,11.000000000000000,53.000000000000000,26597200.0000000,52
DNSR,Dniester,EU,73382,7597170,104,6891019,94,6392435,87,6259306,85,2,0,0.000000000000000,160,2990,1010,2,3,"Moldova, Republic of, Poland, Ukraine",7.000000000000000,1.000000000000000,1394.318483799999967,6.000000000000000,8.000000000000000,13.000000000000000,6127680.0000000,84
DONX,Don,EU,439278,17670831,40,17355494,40,15704653,36,15387049,35,3,0,0.000000000000000,100,10200,2950,3,2,"Ukraine, Russian Federation",2.000000000000000,0.000000000000000,7389.579389479999918,2.000000000000000,3.000000000000000,51.000000000000000,16581800.0000000,38
DRAG,Dragonja,EU,154,11674,76,11675,76,7176,47,7351,48,0,0,0.000000000000000,510,20,10,3,2,"Croatia, Slovenia",0.000000000000000,0.000000000000000,0.057230566517100,0.000000000000000,0.000000000000000,0.000000000000000,9016.1601562,59
DRAX,Dra,AF,94178,1396081,15,1295359,14,1120809,12,1162649,12,2,0,0.000000000000000,70,2180,1360,3,2,"Algeria, Morocco",0.000000000000000,0.000000000000000,26.025012138400001,0.000000000000000,0.000000000000000,3.000000000000000,1001220.0000000,11
DRIN,Drin,EU,18213,2264839,124,1953327,107,1728516,95,1767440,97,7,14,14.000000000000000,870,1040,380,5,4,"Albania, Montenegro, Republic of North Macedonia, Serbia",2.000000000000000,0.000000000000000,1015.330616500000019,3.000000000000000,3.000000000000000,8.000000000000000,1436540.0000000,79
DSHT,Dasht,AS,30984,638477,21,711662,23,666216,22,687545,22,0,0,0.000000000000000,60,2340,720,3,2,"Iran  (Islamic Republic of), Pakistan",0.000000000000000,0.000000000000000,21.822093411000001,0.000000000000000,0.000000000000000,6.000000000000000,512449.0000000,17
DUGV,Daugava,EU,86343,2153043,25,2029356,24,1616657,19,1552503,18,3,0,2.000000000000000,260,2940,140,2,5,"Belarus, Estonia, Latvia, Lithuania, Russian Federation",11.000000000000000,1.000000000000000,4582.465572670000256,3.000000000000000,6.000000000000000,8.000000000000000,2219650.0000000,26
DURO,Douro/Duero,EU,97379,4260703,44,4285931,44,3683361,38,3507670,36,39,0,4.000000000000000,250,7420,3720,1,2,"Portugal, Spain",7.000000000000000,1.000000000000000,341.801326730000028,12.000000000000000,12.000000000000000,105.000000000000000,3636410.0000000,37
EBRO,Ebro,EU,85462,3207066,38,3701639,43,3263732,38,3264841,38,42,0,1.000000000000000,220,9870,4450,2,3,"Andorra, France, Spain",2.000000000000000,0.000000000000000,417.427208489999998,8.000000000000000,8.000000000000000,143.000000000000000,3530320.0000000,41
ELBE,Elbe,EU,145157,22928761,158,22426010,154,20042175,138,19912389,137,42,0,0.000000000000000,210,7460,1120,1,4,"Austria, Czech Republic, Germany, Poland",13.000000000000000,2.000000000000000,2324.551167789999909,9.000000000000000,14.000000000000000,148.000000000000000,24188200.0000000,167
